Property locality,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Avonside,,,330000.0,909250.0,392500.0,1938000.0,992500.0,971250.0,1379857.142857143,
Awaba,,,509000.0,748750.0,496250.0,976750.0,986666.6666666666,683000.0,602937.5,
Aylmerton,,,550000.0,766666.6666666666,945923.0769230769,890000.0,1167500.0,1482500.0,994166.6666666666,
Baan Baa,,,1050000.0,5031169.8,505722.8,794625.0,129333.33333333333,491666.6666666667,451000.0,
Babinda,,,,,,662408.3333333334,,510000.0,2675000.0,
Babyl Creek,,,,275000.0,205000.0,850000.0,700000.0,1300000.0,,
Back Creek,,1906.0,20697.0,1933385.5,460414.4666666667,1998562.5,1870563.6363636365,1945012.5,18866875.0,
Back Forest,,,,1300000.0,2025000.0,,2250000.0,2583000.0,1750000.0,
Backmede,,,,826250.0,1037333.3333333334,1425000.0,631750.0,1637500.0,900000.0,
Backwater,,,,1957750.0,,4405243.0,1000.0,4100000.0,,
Badagarang,,,,,,420154.4520547945,626931.6140350878,1330683.75,1510067.504950495,
Badgerys Creek,,,5300000.0,11875000.0,14480000.0,76266600.0,10138706.25,17743333.333333332,88457635.8,
Badja,,,,150000.0,320000.0,,,,980000.0,
Baerami,,,940000.0,1300000.0,1116760.3333333333,1194000.0,,710000.0,1655000.0,
Baerami Creek,,,,,150418.0,,,,,
Bagnoo,,,,637000.0,280000.0,1200000.0,457500.0,1650000.0,189000.0,
Bago,,,,,1200000.0,,,,,
Bagotville,,,,235666.66666666666,710000.0,421750.0,,710000.0,330000.0,
Bakers Creek,,,,215000.0,1069125.0,790000.0,1663750.0,878601.25,350000.0,
Bakers Swamp,,,,659250.0,832987.5,1745000.0,,5596125.0,,
Balaclava,235000.0,,380000.0,598588.2352941176,599947.3684210526,791883.3333333334,840250.0,1127916.6666666667,1590000.0,
Balala,,,,397933.5,2166639.5,2087500.0,313875.0,3302666.3333333335,601500.0,
Balcolyn,,,,660156.25,569944.4444444445,841957.9090909091,895045.4545454546,852434.7826086957,916611.1111111111,
Bald Blair,10935.0,,,,4300000.0,1722500.0,,2221722.0,,
Bald Hills,,,,454965.85714285716,652506.5,913583.3333333334,1595000.0,1141428.5714285714,1281666.6666666667,
Bald Nob,,,,,1775000.0,,,,2640000.0,
Bald Ridge,,,,463333.3333333333,630000.0,100000.0,520000.0,390759.0,265000.0,
Baldersleigh,,,289298.0,820000.0,2160000.0,458333.3333333333,300000.0,967711.6666666666,1149375.0,
Baldry,,,,1660999.6,725731.5833333334,1428250.0,470000.0,,,
Balfours Peak,,,,,1139350.2,3087500.0,6547400.0,3510000.0,,
Balgowlah,,2550000.0,2052821.4285714286,2281842.7419354836,2763776.0657894737,3279158.024691358,3429360.0,3702319.230769231,3361615.9420289854,2300000.0
Balgowlah Heights,,,3696500.0,2859335.238095238,3021920.906976744,4268666.666666667,4351484.375,4262700.0,4524625.0,
Balgownie,300000.0,,840750.0,822808.8333333334,978439.3134328359,1213040.148148148,1314666.6666666667,1314106.8867924528,1311707.5471698113,
Balladoran,7353.0,,470000.0,612500.0,,838750.0,973472.1666666666,841803.0,997500.0,
Ballalaba,,,,,424375.0,580000.0,1950000.0,,,
Balldale,9396.0,1350.0,230000.0,393371.9,613333.3333333334,252303.125,993181.8181818182,1619887.2727272727,834500.0,
Ballengarra,,,,228925.0,10000.0,583333.3333333334,1610000.0,1175000.0,1200000.0,
Ballimore,,,,235814.76923076922,823750.0,962454.5454545454,1099000.0,432500.0,1081666.6666666667,
Ballina,,396875.0,631700.0,612911.5384615385,603893.2444444444,1076209.0393700788,1103679.775280899,946457.7575757576,993709.4324324324,633750.0
Ballyroe,,,,,150000.0,2700000.0,1500000.0,,,
Balmain,,,2101250.0,2150135.893939394,2546634.581395349,2880683.4482758623,3247873.9743589745,3117244.6043165466,2954266.153846154,
Balmain East,,,3668750.0,3019989.925925926,3195077.15,3905140.0,5196951.315789473,3438785.714285714,4088500.0,
Balmoral,,,558000.0,648772.7272727273,674479.1666666666,759900.9677419355,850820.0,907109.0,820866.6666666666,
Balmoral Village,,,,,,,,759612.0,1220714.2857142857,
Balranald,,1900000.0,377436.5,171290.11111111112,522589.61904761905,274891.3043478261,1200250.2424242424,481318.34210526315,409708.8888888889,
Balranald Nsw,,,,,25000.0,,,,,
Bamarang,,,,,,2825000.0,,,,
Bandon Grove,,,,,817500.0,831500.0,1919125.0,787500.0,688666.6666666666,
Bangadang,,,,1228000.0,,,500000.0,,,
Bangalee,,,1009000.0,910333.3333333334,854417.375,1007105.2631578947,1466428.5714285714,1542500.0,1411666.6666666667,
